text,label
"Congratulations! You won a free iPhone. Click here now!","phishing"
"Your bank account has been suspended. Verify immediately.","phishing"
"Claim your lottery reward now","phishing"
"Update your password immediately","phishing"
"Verify your account using this link","phishing"
"You have won cash prize","phishing"
"Urgent action required on your account","phishing"
"Free Netflix subscription click here","phishing"
"Your PayPal account needs verification","phishing"
"Click this link to claim reward","phishing"
"Meeting scheduled tomorrow at 10 AM","safe"
"Project report has been submitted successfully","safe"
"Team lunch planned for Friday","safe"
"Assignment deadline extended","safe"
"Please attend the meeting","safe"
"Your interview is scheduled for Monday","safe"
"Monthly salary credited successfully","safe"
"Welcome to the company portal","safe"
"Your package has been delivered","safe"
"Project discussion at 3 PM","safe"
